Designator,Mid X,Mid Y,Rotation,Layer
J12,-330.4,-596.8,90.0,bottom
J13,-345.6,-596.8,90.0,bottom
J14,-360.8,-596.8,90.0,bottom
J15,-259.0,-539.0,180.0,bottom
J16,-259.0,-523.8,180.0,bottom
J17,-259.0,-508.6,180.0,bottom
J18,-259.0,-493.4,180.0,bottom
J19,-259.0,-478.2,180.0,bottom
J2,-497.0,-462.8,0.0,bottom
J20,-333.0,-414.0,-90.0,bottom
J21,-348.2,-414.0,-90.0,bottom
J22,-363.4,-414.0,-90.0,bottom
J23,-378.6,-414.0,-90.0,bottom
J24,-393.8,-414.0,-90.0,bottom
J25,-409.0,-414.0,-90.0,bottom
J26,-424.2,-414.0,-90.0,bottom
J3,-497.0,-493.2,0.0,bottom
J4,-497.0,-478.0,0.0,bottom
J5,-497.0,-523.6,0.0,bottom
J6,-497.0,-508.4,0.0,bottom
J7,-497.0,-538.8,0.0,bottom
J8,-391.2,-596.8,90.0,bottom
J9,-406.4,-596.8,90.0,bottom
L1,-394.675,-506.5,0.0,top
R1,-384.675,-488.0,-90.0,top
R10,-469.0,-460.0,90.0,bottom
R100,-393.0,-572.5,0.0,bottom
R101,-441.0,-559.5,90.0,top
R102,-411.0,-559.5,90.0,top
R103,-387.0,-559.5,90.0,top
R104,-402.0,-519.0875,-90.0,top
R105,-441.0,-569.5,180.0,bottom
R106,-441.0,-572.5,-90.0,top
R107,-392.0,-519.0875,-90.0,top
R108,-411.0,-569.5,180.0,bottom
R109,-411.0,-572.5,-90.0,top
R11,-472.0,-460.0,180.0,top
R110,-384.0,-519.0875,-90.0,top
R111,-387.0,-569.5,180.0,bottom
R112,-387.0,-572.5,-90.0,top
R113,-441.0,-572.5,0.0,bottom
R114,-411.0,-572.5,0.0,bottom
R115,-387.0,-572.5,0.0,bottom
R116,-435.0,-559.5,90.0,top
R117,-405.0,-559.5,90.0,top
R118,-381.0,-559.5,90.0,top
R119,-400.0,-519.0875,-90.0,top
R12,-402.5,-497.0,180.0,top
R120,-435.0,-569.5,180.0,bottom
R121,-435.0,-572.5,-90.0,top
R122,-390.0,-519.0875,-90.0,top
R123,-405.0,-569.5,180.0,bottom
R124,-405.0,-572.5,-90.0,top
R125,-382.0,-519.0875,-90.0,top
R126,-381.0,-569.5,180.0,bottom
R127,-381.0,-572.5,-90.0,top
R128,-435.0,-572.5,0.0,bottom
R129,-405.0,-572.5,0.0,bottom
R13,-469.0,-490.0,90.0,bottom
R130,-381.0,-572.5,0.0,bottom
R131,-429.0,-559.5,90.0,top
R132,-398.0,-519.0875,-90.0,top
R133,-429.0,-569.5,180.0,bottom
R134,-429.0,-572.5,-90.0,top
R135,-429.0,-572.5,0.0,bottom
R136,-375.0,-559.5,90.0,top
R137,-344.9125,-559.5,90.0,top
R138,-321.0,-559.5,90.0,top
R139,-380.0,-519.0875,-90.0,top
R14,-472.0,-490.0,180.0,top
R140,-375.0,-569.5,180.0,bottom
R141,-375.0,-572.5,-90.0,top
R142,-370.0,-519.0875,-90.0,top
R143,-345.0,-569.5,180.0,bottom
R144,-345.0,-572.5,-90.0,top
R145,-362.0,-519.0875,-90.0,top
R146,-321.0,-569.5,180.0,bottom
R147,-321.0,-572.5,-90.0,top
R148,-375.0,-572.5,0.0,bottom
R149,-345.0,-572.5,0.0,bottom
R15,-402.5,-505.0,180.0,top
R150,-321.0,-572.5,0.0,bottom
R151,-369.0,-559.5,90.0,top
R152,-339.0,-559.5,90.0,top
R153,-297.0,-553.4625,180.0,top
R154,-378.0,-519.0875,-90.0,top
R155,-369.0,-569.5,180.0,bottom
R156,-369.0,-572.5,-90.0,top
R157,-368.0,-519.0875,-90.0,top
R158,-339.0,-569.5,180.0,bottom
R159,-339.0,-572.5,-90.0,top
R16,-469.0,-514.0,90.0,bottom
R160,-358.25,-519.0,0.0,top
R161,-287.2,-553.4625,-90.0,bottom
R162,-284.2,-553.4625,0.0,top
R163,-369.0,-572.5,0.0,bottom
R164,-339.0,-572.5,0.0,bottom
R165,-284.2,-553.4625,90.0,bottom
R166,-363.0,-559.5,90.0,top
R167,-333.0,-559.5,90.0,top
R168,-297.0,-547.4625,180.0,top
R169,-376.0,-519.0875,-90.0,top
R17,-472.0,-514.0,180.0,top
